"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"70",2,10,9,3,3,1,0,2,3,2,0,1,1,1,1,3,0,1,0,0,2,11,9,10,15,1,-6
"71",1,10,10,3,2,1,4,3,1,2,1,1,1,0,2,1,2,0,1,2,1,11,8,13,5,-2,3
"72",2,9,5,3,1,0,2,4,4,3,0,1,0,0,3,1,2,0,0,0,4,10,3,17,9,-7,-6
"73",1,12,10,4,3,0,1,3,3,3,0,1,1,0,2,3,0,0,0,1,3,7,10,6,11,1,-1
"74",0,10,6,3,1,1,3,3,3,3,0,0,0,1,3,1,1,2,0,2,1,8,5,5,8,3,-3
"75",1,10,18,3,6,1,0,3,1,2,0,1,1,1,2,3,0,0,3,0,1,5,18,5,7,0,11
"76",1,14,19,4,6,2,1,1,0,3,1,0,1,1,1,3,1,0,3,0,0,9,14,4,5,5,9
"77",0,8,5,2,1,2,2,3,4,2,2,0,0,0,3,1,1,2,0,1,2,8,5,11,8,-3,-3
"78",0,10,7,3,2,1,1,3,4,3,0,0,0,1,3,2,1,0,0,0,4,11,7,6,6,5,1
"79",0,6,5,2,1,0,2,5,4,2,0,2,0,0,3,0,1,2,1,1,2,7,5,14,13,-7,-8
"80",0,13,9,4,2,1,3,2,2,3,0,1,1,1,1,2,1,0,0,2,2,13,7,11,7,2,0
"81",2,12,12,3,4,3,0,2,4,2,1,0,1,2,2,4,0,1,0,0,3,9,11,7,17,2,-6
"82",2,11,13,2,4,5,1,1,3,1,2,0,1,3,1,3,0,2,1,1,1,10,13,7,13,3,0
"83",2,10,6,3,2,1,0,4,6,2,1,0,1,0,4,2,0,3,0,0,3,11,7,8,15,3,-8
"84",2,20,10,6,3,2,1,0,4,3,1,0,3,1,0,3,0,1,0,1,3,14,13,5,10,9,3
"85",1,9,8,2,2,3,2,3,4,1,1,2,1,2,1,2,2,1,0,0,3,7,9,9,14,-2,-5
"86",2,8,10,2,3,2,1,4,4,0,1,2,2,1,2,3,0,1,0,1,3,6,9,13,7,-7,2
"87",2,19,15,6,4,1,3,1,1,3,0,0,3,1,1,3,2,0,1,1,1,21,9,10,4,11,5
"88",0,8,13,2,4,2,1,4,3,1,1,2,1,1,2,3,1,1,1,0,2,8,7,9,6,-1,1
"89",2,11,11,3,3,2,2,3,3,3,0,0,0,2,3,2,1,1,1,1,2,10,8,11,8,-1,0
"90",0,5,11,1,3,2,2,5,3,1,2,0,0,0,5,2,2,1,1,0,2,3,13,10,15,-7,-2
"91",0,15,5,4,1,3,2,2,6,3,1,0,1,2,2,1,2,1,0,0,5,12,3,8,13,4,-10
"92",2,12,6,4,2,0,0,5,7,4,0,1,0,0,4,2,0,3,0,0,4,12,7,20,16,-8,-9
"93",0,16,9,5,2,1,3,3,4,3,1,1,2,0,2,2,2,1,0,1,3,9,11,6,16,3,-5
"94",1,10,14,3,4,1,2,5,3,3,0,1,0,1,4,2,2,1,2,0,2,9,16,8,15,1,1
"95",2,11,15,3,4,2,3,4,2,2,1,1,1,1,3,3,2,0,1,1,2,8,9,9,6,-1,3
"96",2,11,8,3,2,2,2,4,5,1,1,2,2,1,2,1,1,3,1,1,2,7,8,13,11,-6,-3
"97",0,22,23,7,7,1,2,1,0,4,0,0,3,1,1,4,1,0,3,1,0,23,17,10,5,13,12
"98",0,10,14,3,3,1,5,5,1,3,0,1,0,1,4,2,2,0,1,3,1,13,15,13,8,0,7
"99",0,14,13,4,4,2,1,3,4,4,0,0,0,2,3,3,1,0,1,0,4,11,12,11,8,0,4
"100",0,13,10,4,2,1,4,4,3,3,0,2,1,1,2,1,2,2,1,2,1,14,9,18,11,-4,-2
"101",1,15,13,4,4,3,1,3,5,2,2,1,2,1,2,3,0,3,1,1,2,17,14,16,19,1,-5
"102",2,17,11,4,3,5,2,1,5,2,2,0,2,3,1,3,1,1,0,1,4,16,10,8,9,8,1
"103",2,16,22,5,7,1,1,4,2,3,1,0,2,0,4,4,0,1,3,1,1,14,23,9,11,5,12
"104",2,26,15,8,4,2,3,0,3,4,1,0,4,1,0,3,1,1,1,2,2,18,12,5,10,13,2
"105",2,13,14,3,4,4,2,3,4,1,2,2,2,2,1,3,1,1,1,1,3,10,10,11,9,-1,1
"106",1,15,15,4,5,3,0,3,5,3,2,0,1,1,3,5,0,1,0,0,4,9,13,8,20,1,-7
"107",2,12,14,3,4,3,2,4,4,2,2,1,1,1,3,2,1,2,2,1,2,12,11,16,14,-4,-3
"108",1,8,10,2,3,2,1,6,6,1,1,3,1,1,3,3,0,2,0,1,4,9,13,15,14,-6,-1
"109",1,6,16,2,5,0,1,8,4,2,0,3,0,0,5,3,1,2,2,0,2,7,9,17,7,-10,2
